Location,Time,Air temperature (°C),Precipitation amount (mm),Wind-speed (m/s),Reltive humidity (%)
Molde,2022-01-03 12:00:00+00:00,-0.5,,4.3,94.0
Molde,2022-01-03 12:10:00+00:00,-0.5,,3.7,88.0
Molde,2022-01-03 12:20:00+00:00,-0.5,,3.3,82.0
Molde,2022-01-03 12:30:00+00:00,-0.5,,3.0,76.0
Molde,2022-01-03 12:40:00+00:00,-0.5,,1.6,70.0
Molde,2022-01-03 12:50:00+00:00,-0.5,,2.7,64.0
Molde,2022-01-10 12:00:00+00:00,-0.5,,0.3,58.0
Molde,2022-01-10 12:10:00+00:00,-0.35,,0.6,59.5
Molde,2022-01-10 12:20:00+00:00,-0.2,,0.2,61.0
Molde,2022-01-10 12:30:00+00:00,-0.050000000000000044,,0.8,62.5
Molde,2022-01-10 12:40:00+00:00,0.09999999999999998,,0.3,64.0
Molde,2022-01-10 12:50:00+00:00,0.25,,0.6,65.5
Molde,2022-01-17 12:00:00+00:00,0.4,,2.8,67.0
Molde,2022-01-17 12:10:00+00:00,0.8666666666666667,,3.3,68.83333333333333
Molde,2022-01-17 12:20:00+00:00,1.3333333333333335,,3.4,70.66666666666667
Molde,2022-01-17 12:30:00+00:00,1.8000000000000003,,3.1,72.5
Molde,2022-01-17 12:40:00+00:00,2.266666666666667,,2.9,74.33333333333333
Molde,2022-01-17 12:50:00+00:00,2.7333333333333334,,2.6,76.16666666666667
Molde,2022-01-24 12:00:00+00:00,3.2,,1.3,78.0
Molde,2022-01-24 12:10:00+00:00,2.2,,1.1,77.5
Molde,2022-01-24 12:20:00+00:00,1.2000000000000002,,1.1,77.0
Molde,2022-01-24 12:30:00+00:00,0.20000000000000018,,0.6,76.5
Molde,2022-01-24 12:40:00+00:00,-0.7999999999999998,,1.5,76.0
Molde,2022-01-24 12:50:00+00:00,-1.7999999999999998,,1.5,75.5
Molde,2022-01-31 12:00:00+00:00,-2.8,,0.1,75.0
Molde,2022-01-31 12:10:00+00:00,-2.083333333333333,,0.3,78.33333333333333
Molde,2022-01-31 12:20:00+00:00,-1.3666666666666665,,0.1,81.66666666666667
Molde,2022-01-31 12:30:00+00:00,-0.6499999999999999,,0.0,85.0
Molde,2022-01-31 12:40:00+00:00,0.06666666666666687,,0.4,88.33333333333333
Molde,2022-01-31 12:50:00+00:00,0.7833333333333337,,0.3,91.66666666666667
Molde,2022-02-07 12:00:00+00:00,1.5,,0.2,95.0
Molde,2022-02-07 12:10:00+00:00,1.2666666666666666,,0.2,89.66666666666667
Molde,2022-02-07 12:20:00+00:00,1.0333333333333334,,0.5,84.33333333333333
Molde,2022-02-07 12:30:00+00:00,0.8,,0.5,79.0
Molde,2022-02-07 12:40:00+00:00,0.5666666666666668,,0.0,73.66666666666667
Molde,2022-02-07 12:50:00+00:00,0.3333333333333335,,0.1,68.33333333333334
Molde,2022-02-14 12:00:00+00:00,0.1,,1.7,63.0
Molde,2022-02-14 12:10:00+00:00,0.08333333333333334,,1.8,67.0
Molde,2022-02-14 12:20:00+00:00,0.06666666666666668,,1.6,71.0
Molde,2022-02-14 12:30:00+00:00,0.05,,1.3,75.0
Molde,2022-02-14 12:40:00+00:00,0.03333333333333334,,1.7,79.0
Molde,2022-02-14 12:50:00+00:00,0.016666666666666677,,1.4,83.0
Molde,2022-02-21 12:00:00+00:00,0.0,,1.3,87.0
Molde,2022-02-21 12:10:00+00:00,1.1666666666666667,,1.8,78.5
Molde,2022-02-21 12:20:00+00:00,2.3333333333333335,,1.9,70.0
Molde,2022-02-21 12:30:00+00:00,3.5,,2.2,61.5
Molde,2022-02-21 12:40:00+00:00,4.666666666666667,,2.6,53.0
Molde,2022-02-21 12:50:00+00:00,5.833333333333334,,2.1,44.5
Molde,2022-02-28 12:00:00+00:00,7.0,,0.3,36.0
Molde,2022-02-28 12:10:00+00:00,7.016666666666667,,0.1,38.333333333333336
Molde,2022-02-28 12:20:00+00:00,7.033333333333333,,0.6,40.666666666666664
Molde,2022-02-28 12:30:00+00:00,7.05,,0.8,43.0
Molde,2022-02-28 12:40:00+00:00,7.066666666666666,,0.3,45.333333333333336
Molde,2022-02-28 12:50:00+00:00,7.083333333333333,,0.5,47.66666666666667
Molde,2022-03-07 12:00:00+00:00,7.1,,0.6,50.0
Molde,2022-03-07 12:10:00+00:00,7.949999999999999,,1.1,45.5
Molde,2022-03-07 12:20:00+00:00,8.799999999999999,,0.8,41.0
Molde,2022-03-07 12:30:00+00:00,9.649999999999999,,0.7,36.5
Molde,2022-03-07 12:40:00+00:00,10.5,,0.7,32.0
Molde,2022-03-07 12:50:00+00:00,11.35,,1.2,27.5
Molde,2022-03-14 12:00:00+00:00,12.2,,0.7,23.0
Molde,2022-03-14 12:10:00+00:00,11.85,,1.0,25.333333333333332
Molde,2022-03-14 12:20:00+00:00,11.5,,0.9,27.666666666666668
Molde,2022-03-14 12:30:00+00:00,11.149999999999999,,1.1,30.0
Molde,2022-03-14 12:40:00+00:00,10.799999999999999,,1.0,32.333333333333336
Molde,2022-03-14 12:50:00+00:00,10.45,,0.9,34.66666666666667
Molde,2022-03-21 12:00:00+00:00,10.1,,0.7,37.0
Molde,2022-03-21 12:10:00+00:00,8.7,,0.7,42.833333333333336
Molde,2022-03-21 12:20:00+00:00,7.299999999999999,,0.8,48.666666666666664
Molde,2022-03-21 12:30:00+00:00,5.8999999999999995,,0.7,54.5
Molde,2022-03-21 12:40:00+00:00,4.499999999999999,,1.0,60.33333333333333
Molde,2022-03-21 12:50:00+00:00,3.0999999999999988,,0.8,66.16666666666666
Molde,2022-03-28 12:00:00+00:00,1.7,,4.1,72.0
Molde,2022-03-28 12:10:00+00:00,1.45,,4.3,71.5
Molde,2022-03-28 12:20:00+00:00,1.2,,5.0,71.0
Molde,2022-03-28 12:30:00+00:00,0.95,,4.3,70.5
Molde,2022-03-28 12:40:00+00:00,0.7,,4.1,70.0
Molde,2022-03-28 12:50:00+00:00,0.44999999999999996,,4.9,69.5
Molde,2022-04-04 12:00:00+00:00,0.2,,1.4,69.0
Molde,2022-04-04 12:10:00+00:00,0.31666666666666665,,1.1,71.66666666666667
Molde,2022-04-04 12:20:00+00:00,0.43333333333333335,,0.4,74.33333333333333
Molde,2022-04-04 12:30:00+00:00,0.55,,0.3,77.0
Molde,2022-04-04 12:40:00+00:00,0.6666666666666666,,1.3,79.66666666666667
Molde,2022-04-04 12:50:00+00:00,0.7833333333333332,,0.9,82.33333333333333
Molde,2022-04-11 12:00:00+00:00,0.9,,2.2,85.0
Molde,2022-04-11 12:10:00+00:00,3.2666666666666666,,2.8,77.16666666666667
Molde,2022-04-11 12:20:00+00:00,5.633333333333334,,1.1,69.33333333333333
Molde,2022-04-11 12:30:00+00:00,8.0,,1.1,61.5
Molde,2022-04-11 12:40:00+00:00,10.366666666666667,,0.9,53.66666666666667
Molde,2022-04-11 12:50:00+00:00,12.733333333333334,,1.3,45.833333333333336
Molde,2022-04-18 12:00:00+00:00,15.1,,0.9,38.0
Molde,2022-04-18 12:10:00+00:00,13.383333333333333,,1.1,46.5
Molde,2022-04-18 12:20:00+00:00,11.666666666666666,,1.0,55.0
Molde,2022-04-18 12:30:00+00:00,9.95,,1.0,63.5
Molde,2022-04-18 12:40:00+00:00,8.233333333333333,,0.9,72.0
Molde,2022-04-18 12:50:00+00:00,6.516666666666666,,0.8,80.5
Molde,2022-04-25 12:00:00+00:00,4.8,,2.2,89.0
Molde,2022-04-25 12:10:00+00:00,4.5,,2.4,89.16666666666667
Molde,2022-04-25 12:20:00+00:00,4.2,,2.1,89.33333333333333
Molde,2022-04-25 12:30:00+00:00,3.9,,1.9,89.5
Molde,2022-04-25 12:40:00+00:00,3.5999999999999996,,1.9,89.66666666666667
Molde,2022-04-25 12:50:00+00:00,3.3,,2.1,89.83333333333333
Molde,2022-05-02 12:00:00+00:00,3.0,,2.4,90.0
Molde,2022-05-02 12:10:00+00:00,4.9,,1.7,80.0
Molde,2022-05-02 12:20:00+00:00,6.800000000000001,,2.3,70.0
Molde,2022-05-02 12:30:00+00:00,8.7,,4.5,60.0
Molde,2022-05-02 12:40:00+00:00,10.600000000000001,,4.0,50.0
Molde,2022-05-02 12:50:00+00:00,12.5,,3.7,40.0
Molde,2022-05-09 12:00:00+00:00,14.4,,1.7,30.0
Molde,2022-05-09 12:10:00+00:00,13.6,,1.9,32.166666666666664
Molde,2022-05-09 12:20:00+00:00,12.8,,2.2,34.333333333333336
Molde,2022-05-09 12:30:00+00:00,12.0,,2.2,36.5
Molde,2022-05-09 12:40:00+00:00,11.2,,2.0,38.666666666666664
